X,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Mode10,Mode11,Mode12,Mode13,Mode14,Mode15,Mode16,Mode17,Mode18,Mode19,Mode20,Mode21,Mode22,Mode23,Mode24,Mode25,Mode26,Mode27,Mode28,Mode29,Mode30,Mode31,Mode32,Mode33,Mode34,Mode35,Mode36,Mode37,Mode38,Mode39,Mode40,Mode41,Mode42,Mode43,Mode44,Mode45,Mode46,Mode47,Mode48,Mode49,Mode50,Mode51,Mode52,Mode53,Mode54,Mode55,Mode56,Mode57,Mode58,Mode59,Mode60,Mode61,Mode62,Mode63,Mode64,Mode65,Mode66,Mode67,Mode68,Mode69,Mode70,Mode71,Mode72,Mode73,Mode74,Mode75,Mode76,Mode77,Mode78,Mode79,Mode80,Mode81,Mode82,Mode83,Mode84,Mode85,Mode86,Mode87,Mode88,Mode89,Mode90,Mode91,Mode92,Mode93,Mode94,Mode95,Mode96,Mode97,Mode98,Mode99,Mode100
0,0,0.001,-0.001,0.002,0.001,0.002,-0.001,-0.002,-0.001,-0.001,0.004,-0.005,-0.003,-0.003,-0.001,-0.001,0.006,0.005,-0.007,-0.005,0.002,-0.003,0.002,0.001,-0.002,0.001,0.001,0.005,-0.004,-0.006,-0.005,-0.005,0.005,0,0.003,0.002,0.005,0.005,0.007,0.006,0.002,-0.003,-0.008,-0.008,-0.004,0.008,0.005,0.004,-0.005,-0.011,-0.004,0.004,0.006,0.01,0.001,0.001,0.011,-0.014,0.007,0.003,-0.004,-0.004,-0.004,0.001,-0.001,-0.002,0.016,0.014,0,-0.001,0.003,0.001,0.003,-0.001,-0.001,-0.013,-0.014,-0.01,-0.018,0.003,0.004,0.001,0.005,-0.004,-0.005,0.004,-0.006,-0.006,-0.011,-0.002,0.012,-0.004,0.004,0.001,0.014,-0.001,0.009,0.003,0.003,0.003
0.625,0.001,0.003,-0.003,0.004,0.003,-0.001,0.002,-0.003,0.002,0.003,0.005,-0.006,-0.004,-0.005,-0.004,0.002,0.007,0.005,-0.003,-0.004,0.007,0.002,0.002,0.009,0.005,0.002,0,0.006,-0.009,-0.013,-0.011,-0.003,0.005,-0.001,0.003,0.002,0.006,0.005,0.01,0.007,0.002,-0.002,-0.002,-0.006,-0.003,0.003,0.009,0.01,-0.015,-0.018,-0.015,0.002,0.006,0.019,-0.003,-0.004,0.009,-0.013,0.006,0.004,-0.003,-0.006,-0.003,-0.002,0.002,-0.005,0.01,0.009,-0.001,-0.005,0.003,0.003,0.003,0,-0.004,-0.009,-0.023,-0.019,-0.012,-0.004,0.004,0.001,0.005,-0.001,-0.012,0.008,0.002,-0.02,-0.004,-0.003,0.008,-0.014,0.002,0.002,0.005,-0.002,0.001,0.006,0.002,0.004
1.25,0.003,0.006,-0.006,0.006,0.005,-0.003,0.006,-0.005,0.006,0.008,0.006,-0.007,-0.005,-0.007,-0.008,0.006,0.008,0.005,0.001,-0.002,0.011,0.008,0.001,0.018,0.012,0.004,0,0.007,-0.014,-0.021,-0.018,-0.002,0.005,-0.001,0.002,0.001,0.006,0.005,0.013,0.009,0.001,-0.001,0.003,-0.004,-0.003,-0.001,0.013,0.015,-0.025,-0.025,-0.025,0.001,0.007,0.028,-0.008,-0.009,0.007,-0.011,0.006,0.005,-0.001,-0.009,-0.001,-0.005,0.006,-0.01,0.003,0.003,-0.002,-0.008,0.002,0.004,0.003,0,-0.008,-0.005,-0.032,-0.027,-0.005,-0.011,0.003,0.001,0.005,0.003,-0.017,0.011,0.011,-0.033,0.003,-0.003,0.003,-0.024,0,0.002,-0.005,-0.004,-0.008,0.009,0,0.006
1.875,0.004,0.008,-0.008,0.008,0.007,-0.006,0.009,-0.007,0.011,0.012,0.006,-0.008,-0.005,-0.008,-0.013,0.011,0.008,0.004,0.004,0.001,0.015,0.012,0.001,0.026,0.019,0.006,0,0.008,-0.018,-0.028,-0.025,0,0.005,-0.001,0.001,0.001,0.006,0.005,0.017,0.011,0,0,0.007,-0.002,-0.002,-0.005,0.016,0.02,-0.033,-0.03,-0.034,0,0.007,0.035,-0.013,-0.014,0.005,-0.009,0.005,0.006,0,-0.011,0.002,-0.008,0.01,-0.014,-0.004,-0.004,-0.002,-0.01,0.002,0.005,0.001,0,-0.011,0,-0.037,-0.032,0.003,-0.017,0.001,0,0.005,0.006,-0.019,0.013,0.019,-0.042,0.009,-0.003,-0.001,-0.032,-0.001,0.002,-0.014,-0.006,-0.015,0.01,-0.003,0.008
2.5,0.005,0.01,-0.01,0.01,0.009,-0.008,0.012,-0.008,0.014,0.017,0.007,-0.008,-0.005,-0.01,-0.017,0.015,0.009,0.004,0.007,0.003,0.018,0.016,0,0.034,0.026,0.008,0,0.008,-0.022,-0.034,-0.031,0.001,0.004,-0.001,0,0.001,0.006,0.004,0.02,0.013,-0.001,0.001,0.011,0,-0.002,-0.008,0.018,0.023,-0.038,-0.033,-0.039,-0.001,0.007,0.039,-0.017,-0.018,0.003,-0.007,0.005,0.006,0.001,-0.012,0.006,-0.012,0.014,-0.018,-0.011,-0.01,-0.003,-0.011,0.001,0.005,-0.001,0,-0.015,0.004,-0.037,-0.034,0.012,-0.02,-0.001,-0.001,0.004,0.01,-0.018,0.012,0.026,-0.045,0.013,-0.003,-0.004,-0.036,-0.002,0.002,-0.02,-0.007,-0.02,0.01,-0.007,0.01
3.125,0.006,0.013,-0.012,0.012,0.011,-0.01,0.015,-0.01,0.018,0.021,0.007,-0.009,-0.006,-0.011,-0.021,0.019,0.01,0.003,0.01,0.004,0.021,0.019,-0.001,0.04,0.031,0.01,0.001,0.008,-0.026,-0.039,-0.036,0.003,0.004,-0.001,-0.001,0.001,0.006,0.004,0.022,0.014,-0.002,0.003,0.013,0.001,-0.001,-0.011,0.018,0.025,-0.04,-0.033,-0.041,-0.002,0.007,0.04,-0.021,-0.021,0,-0.003,0.004,0.007,0.001,-0.013,0.011,-0.015,0.018,-0.021,-0.016,-0.016,-0.003,-0.01,0.001,0.004,-0.005,-0.001,-0.018,0.008,-0.033,-0.031,0.02,-0.022,-0.004,-0.002,0.003,0.014,-0.014,0.008,0.031,-0.041,0.014,-0.003,-0.006,-0.036,-0.002,0.002,-0.023,-0.008,-0.022,0.008,-0.011,0.012
3.75,0.007,0.015,-0.014,0.014,0.013,-0.012,0.018,-0.011,0.022,0.025,0.007,-0.009,-0.006,-0.011,-0.025,0.023,0.01,0.003,0.012,0.006,0.022,0.021,-0.001,0.044,0.034,0.012,0.002,0.008,-0.028,-0.043,-0.039,0.004,0.004,-0.001,-0.001,0,0.006,0.003,0.023,0.015,-0.003,0.004,0.015,0.002,-0.001,-0.013,0.017,0.024,-0.039,-0.03,-0.038,-0.003,0.006,0.037,-0.023,-0.023,-0.002,0,0.003,0.007,0.002,-0.012,0.016,-0.018,0.02,-0.023,-0.02,-0.02,-0.004,-0.008,0.001,0.001,-0.01,-0.002,-0.021,0.01,-0.025,-0.025,0.026,-0.02,-0.008,-0.003,0.001,0.017,-0.007,0.002,0.032,-0.032,0.012,-0.002,-0.006,-0.031,-0.001,0.002,-0.022,-0.008,-0.021,0.005,-0.015,0.014
4.375,0.008,0.017,-0.016,0.016,0.014,-0.014,0.021,-0.012,0.025,0.029,0.007,-0.009,-0.005,-0.012,-0.029,0.027,0.011,0.002,0.013,0.007,0.023,0.023,-0.001,0.046,0.036,0.014,0.004,0.008,-0.029,-0.045,-0.041,0.004,0.004,-0.002,-0.001,0,0.006,0.003,0.024,0.016,-0.004,0.006,0.015,0.003,-0.001,-0.013,0.014,0.022,-0.034,-0.025,-0.033,-0.002,0.005,0.031,-0.025,-0.024,-0.004,0.004,0.002,0.007,0.001,-0.011,0.021,-0.02,0.022,-0.025,-0.022,-0.023,-0.004,-0.004,0,-0.002,-0.015,-0.003,-0.022,0.011,-0.014,-0.017,0.03,-0.017,-0.01,-0.004,0,0.018,0.002,-0.004,0.03,-0.019,0.008,-0.001,-0.005,-0.022,0,0.002,-0.017,-0.007,-0.016,0.001,-0.019,0.016
5,0.009,0.018,-0.017,0.017,0.016,-0.016,0.023,-0.013,0.029,0.032,0.007,-0.008,-0.005,-0.012,-0.032,0.03,0.011,0.002,0.014,0.008,0.023,0.023,-0.001,0.047,0.037,0.016,0.005,0.008,-0.03,-0.045,-0.041,0.004,0.004,-0.002,-0.001,0,0.006,0.002,0.023,0.015,-0.004,0.007,0.014,0.003,-0.002,-0.013,0.009,0.018,-0.026,-0.018,-0.023,-0.002,0.004,0.022,-0.025,-0.025,-0.005,0.008,0.001,0.006,0.001,-0.008,0.025,-0.022,0.023,-0.024,-0.022,-0.023,-0.005,0,0.001,-0.005,-0.02,-0.005,-0.023,0.01,-0.002,-0.006,0.03,-0.011,-0.012,-0.004,-0.001,0.018,0.011,-0.011,0.025,-0.002,0.003,0,-0.003,-0.011,0.001,0.002,-0.01,-0.006,-0.009,-0.004,-0.022,0.018
5.625,0.01,0.02,-0.019,0.018,0.017,-0.017,0.025,-0.014,0.032,0.035,0.006,-0.008,-0.004,-0.012,-0.035,0.034,0.011,0.001,0.014,0.008,0.022,0.021,-0.002,0.046,0.036,0.018,0.008,0.007,-0.029,-0.044,-0.039,0.004,0.005,-0.001,0,-0.001,0.006,0.001,0.022,0.015,-0.005,0.008,0.012,0.003,-0.002,-0.012,0.004,0.012,-0.015,-0.008,-0.012,-0.001,0.002,0.011,-0.024,-0.024,-0.005,0.011,0,0.005,0,-0.006,0.028,-0.023,0.023,-0.023,-0.019,-0.021,-0.005,0.005,0,-0.009,-0.024,-0.006,-0.023,0.009,0.011,0.004,0.027,-0.004,-0.013,-0.004,-0.002,0.015,0.018,-0.017,0.017,0.014,-0.003,0.001,0,0.001,0.003,0.001,-0.001,-0.005,-0.001,-0.008,-0.025,0.019
6.25,0.011,0.021,-0.02,0.02,0.018,-0.018,0.026,-0.014,0.034,0.038,0.006,-0.007,-0.004,-0.012,-0.038,0.036,0.012,0.001,0.013,0.009,0.02,0.019,-0.002,0.043,0.033,0.02,0.01,0.007,-0.028,-0.041,-0.036,0.004,0.005,-0.001,0,-0.001,0.005,0.001,0.02,0.013,-0.005,0.008,0.009,0.002,-0.003,-0.009,-0.001,0.006,-0.003,0.002,0.001,0,0.001,-0.001,-0.023,-0.022,-0.005,0.013,-0.001,0.004,-0.001,-0.002,0.029,-0.024,0.023,-0.021,-0.015,-0.018,-0.005,0.01,0.001,-0.012,-0.027,-0.006,-0.021,0.005,0.021,0.013,0.021,0.004,-0.012,-0.003,-0.002,0.011,0.023,-0.021,0.007,0.028,-0.008,0.002,0.003,0.013,0.004,0.001,0.007,-0.005,0.007,-0.011,-0.026,0.02
6.875,0.012,0.023,-0.021,0.02,0.019,-0.019,0.028,-0.014,0.036,0.04,0.005,-0.006,-0.003,-0.011,-0.04,0.038,0.012,0,0.012,0.008,0.018,0.016,-0.001,0.038,0.029,0.021,0.012,0.006,-0.025,-0.036,-0.031,0.003,0.005,-0.001,0.001,-0.001,0.005,0,0.017,0.012,-0.005,0.009,0.005,0.002,-0.003,-0.007,-0.007,-0.001,0.009,0.012,0.014,0.001,0,-0.013,-0.021,-0.02,-0.005,0.015,-0.001,0.003,-0.002,0.001,0.029,-0.024,0.022,-0.017,-0.009,-0.012,-0.006,0.014,0,-0.014,-0.028,-0.007,-0.019,0.002,0.029,0.02,0.012,0.01,-0.009,-0.002,-0.001,0.006,0.024,-0.022,-0.003,0.037,-0.012,0.003,0.005,0.022,0.004,0,0.015,-0.005,0.013,-0.012,-0.026,0.021
7.5,0.012,0.024,-0.022,0.021,0.019,-0.02,0.028,-0.014,0.038,0.041,0.004,-0.004,-0.002,-0.01,-0.042,0.04,0.012,0,0.01,0.007,0.014,0.013,-0.001,0.032,0.023,0.023,0.015,0.005,-0.022,-0.03,-0.025,0.002,0.005,-0.001,0.001,-0.001,0.004,-0.001,0.013,0.01,-0.005,0.009,0.001,0.001,-0.004,-0.003,-0.012,-0.008,0.021,0.021,0.027,0.002,-0.002,-0.024,-0.019,-0.018,-0.003,0.015,-0.001,0.002,-0.003,0.003,0.027,-0.024,0.021,-0.013,-0.002,-0.006,-0.006,0.017,0,-0.015,-0.027,-0.006,-0.016,-0.003,0.032,0.023,0.002,0.015,-0.006,-0.001,-0.001,0,0.022,-0.019,-0.013,0.041,-0.014,0.003,0.006,0.028,0.004,0,0.019,-0.005,0.016,-0.012,-0.025,0.021
8.125,0.013,0.024,-0.023,0.021,0.02,-0.021,0.029,-0.014,0.04,0.043,0.003,-0.003,-0.001,-0.009,-0.043,0.041,0.012,0,0.007,0.006,0.01,0.008,-0.001,0.025,0.017,0.024,0.018,0.004,-0.018,-0.022,-0.018,0.001,0.005,0,0.002,-0.001,0.004,-0.001,0.009,0.007,-0.004,0.009,-0.002,0,-0.004,0,-0.016,-0.015,0.032,0.029,0.038,0.003,-0.003,-0.034,-0.017,-0.015,-0.002,0.014,-0.001,0,-0.004,0.006,0.023,-0.024,0.02,-0.008,0.004,0.001,-0.006,0.019,0,-0.014,-0.023,-0.005,-0.012,-0.007,0.032,0.023,-0.009,0.019,-0.001,0.001,0,-0.006,0.016,-0.014,-0.021,0.039,-0.013,0.002,0.006,0.029,0.003,-0.001,0.02,-0.007,0.017,-0.01,-0.024,0.021
