X,Load
0,-210000
-3,-210000
-14,-210000
-17,-210000
-20.525,-210000
-22.525,-210000
-44.7625,-210000
-46.7625,-210000
-71.7625,-210000
-73.7625,-210000
-98.7625,-210000
-100.763,-210000
-125.763,-210000
-127.763,-210000
-152.762,-210000
-154.762,-210000
-179.762,-210000
-181.762,-210000
-206.762,-210000
-208.762,-210000
-233.762,-210000
-235.762,-210000
-260.762,-210000
-262.762,-210000
-287.762,-210000
-289.762,-210000
-314.762,-210000
-316.762,-210000
-341.762,-210000
-343.762,-210000
-366,-210000
-368,-210000
-371.525,-210000
-374.525,-210000
-385.525,-210000
-388.525,-210000
