Z,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6
-2.286,0,0,0,0,0,0
0,4.11992E-05,-2.42514E-05,3.76144E-05,-8.00622E-05,0.00017055,-0.002998489
2.286,0.000116429,-6.084E-05,9.26384E-05,-0.000186735,0.000393324,-0.006654844
4.572,0.000226617,-0.000110164,0.000165655,-0.000321041,0.000670397,-0.010998415
6.858,0.000372938,-0.000172489,0.000256982,-0.000483063,0.001001682,-0.016011095
9.144,0.000556615,-0.000248088,0.000366938,-0.000672847,0.001386994,-0.021671867
11.43,0.00077893,-0.000337235,0.000495841,-0.000890395,0.001826039,-0.027956665
13.716,0.001041223,-0.000440211,0.000644011,-0.001135666,0.002318406,-0.034838241
16.002,0.001344899,-0.000557299,0.000811762,-0.001408567,0.002863558,-0.042286022
18.288,0.001691414,-0.000688779,0.0009994,-0.001708936,0.003460791,-0.050265458
20.574,0.002082274,-0.000834931,0.001207217,-0.002036538,0.004109229,-0.058738185
22.86,0.002519039,-0.000996026,0.001435491,-0.002391066,0.004807819,-0.06766196
25.146,0.003003322,-0.001172334,0.001684485,-0.002772131,0.005555323,-0.076990585
27.432,0.003536805,-0.001364124,0.001954453,-0.003179275,0.006350334,-0.086674399
28.575,0.003822567,-0.001465935,0.002097421,-0.003392565,0.006765383,-0.091636432
29.718,0.00412178,-0.001571966,0.002246099,-0.003612869,0.007193128,-0.096685979
32.004,0.004759776,-0.001795651,0.002558855,-0.004070291,0.008077574,-0.10689183
34.29,0.00545262,-0.002035729,0.002893456,-0.00455235,0.009005059,-0.117296127
36.576,0.006202085,-0.002292296,0.003249833,-0.005057583,0.009971894,-0.127801959
38.862,0.007010231,-0.0025656,0.003628162,-0.005585181,0.010975926,-0.138353793
40.005,0.00743707,-0.002708687,0.003825739,-0.005857353,0.01149169,-0.143634153
41.148,0.00787916,-0.002855867,0.004028564,-0.006134033,0.012014213,-0.148870376
43.434,0.008811221,-0.003163315,0.004451127,-0.00670288,0.013083532,-0.159271409
45.72,0.009808375,-0.00348801,0.004895718,-0.007290157,0.014180107,-0.169476794
48.006,0.010872208,-0.00382975,0.005361764,-0.007893093,0.015297394,-0.179340303
50.292,0.012004148,-0.004188391,0.005848854,-0.008509967,0.016431587,-0.188808536
52.578,0.013205687,-0.004563819,0.006356601,-0.009138894,0.017578365,-0.197803065
54.864,0.014478343,-0.004955885,0.006884561,-0.009777841,0.018733092,-0.206241921
57.15,0.015823645,-0.005364411,0.007432236,-0.010424664,0.019890924,-0.214043166
59.436,0.01724316,-0.005789197,0.00799909,-0.011077136,0.021046865,-0.22112604
61.722,0.018738482,-0.006230008,0.008584526,-0.011732915,0.022195713,-0.227410814
64.008,0.020311512,-0.006686715,0.009188093,-0.012389881,0.023332703,-0.232824291
66.294,0.021964191,-0.007159082,0.00980916,-0.013045512,0.024452278,-0.237288116
68.58,0.023698176,-0.007646689,0.010446815,-0.013696853,0.025548092,-0.240723351
70.866,0.025515153,-0.008149163,0.011100224,-0.014341165,0.026614295,-0.2430614
73.152,0.027416844,-0.008666095,0.0117685,-0.014975642,0.027644944,-0.24423818
75.438,0.029404993,-0.009197037,0.012450684,-0.015597378,0.028633964,-0.244194482
77.724,0.031481348,-0.009741492,0.013145746,-0.016203396,0.0295752,-0.242877104
80.01,0.033647693,-0.01029893,0.013852598,-0.016790661,0.030462456,-0.240239262
82.296,0.035905869,-0.010868781,0.014570087,-0.017356068,0.031289474,-0.236240835
84.582,0.038257737,-0.011450422,0.015296978,-0.017896443,0.032049944,-0.230849436
86.868,0.040705509,-0.012043315,0.01603214,-0.018408741,0.032737818,-0.224036861
89.154,0.043251447,-0.012646784,0.016774224,-0.018889599,0.033346557,-0.215782992
91.44,0.045897477,-0.013259955,0.0175216,-0.01933545,0.033869452,-0.206083922
93.726,0.048645511,-0.013881969,0.018272658,-0.019742741,0.034299818,-0.194935949
96.012,0.051497512,-0.014511969,0.019025825,-0.020108392,0.034632199,-0.182365367
98.298,0.054455402,-0.015149001,0.019779372,-0.020429094,0.034860772,-0.168401605
100.584,0.057521015,-0.015792045,0.02053149,-0.020701608,0.034980012,-0.153087355
102.87,0.060696573,-0.016440156,0.021280454,-0.020922794,0.034984594,-0.136467363
105.156,0.063984273,-0.017092208,0.022024279,-0.02108935,0.034869162,-0.118605449
107.442,0.067385801,-0.017746892,0.02276075,-0.021198107,0.034628981,-0.099591115
109.728,0.070903226,-0.018403058,0.023487887,-0.021246172,0.034259749,-0.079508175
112.014,0.074538571,-0.01905938,0.024203451,-0.021230598,0.033757396,-0.058462301
114.3,0.078293303,-0.019714355,0.02490501,-0.021148724,0.033118802,-0.03658562
116.586,0.082168836,-0.020366541,0.025590252,-0.020998237,0.03234156,-0.014012823
118.872,0.086166598,-0.02101444,0.026256797,-0.020776992,0.031423791,0.009110028
121.158,0.090287921,-0.021656487,0.026902197,-0.020483087,0.030364309,0.032624292
123.444,0.094533961,-0.022291068,0.027523976,-0.020114936,0.02916274,0.056360753
125.73,0.098905814,-0.022916533,0.028119634,-0.019671237,0.027819431,0.080142495
128.016,0.103404573,-0.023531181,0.028686624,-0.01915094,0.026335413,0.103784701
130.302,0.108031334,-0.024133255,0.02922235,-0.018553268,0.024712436,0.127095649
132.588,0.112787063,-0.024720946,0.02972418,-0.017877812,0.022953161,0.149876807
134.874,0.117672514,-0.025292414,0.030189503,-0.01712459,0.021061232,0.171926404
137.16,0.122688356,-0.025845803,0.030615717,-0.016293994,0.019041135,0.193042385
139.446,0.127835214,-0.026379159,0.031000113,-0.015386574,0.016897876,0.213013576
141.732,0.133113154,-0.026890564,0.031340181,-0.014404047,0.014638834,0.231641388
144.018,0.138521952,-0.027378175,0.031633559,-0.013348379,0.012271749,0.248736326
146.304,0.144063079,-0.02784025,0.031877848,-0.012220515,0.009802021,0.26413499
148.59,0.149738049,-0.028274547,0.032070045,-0.011022215,0.007237636,0.277638658
150.876,0.155547293,-0.028678757,0.032207254,-0.00975654,0.004589339,0.28905172
153.162,0.161491112,-0.029050785,0.032286912,-0.008426727,0.001867762,0.298209321
155.448,0.167569758,-0.029388507,0.03230648,-0.007036457,-0.000915585,0.304959538
157.734,0.173783441,-0.029689771,0.032263446,-0.005589849,-0.003748364,0.309165512
160.02,0.180131835,-0.029952424,0.03215544,-0.004091897,-0.006616595,0.310710517
162.306,0.186614534,-0.030174424,0.031980289,-0.002547806,-0.009506221,0.309504219
164.592,0.193231079,-0.030353726,0.031735889,-0.000963199,-0.012402512,0.3054778
166.878,0.199980952,-0.030488281,0.031420213,0.000655884,-0.015290107,0.298585631
169.164,0.206863579,-0.030576045,0.031031317,0.002302993,-0.018153061,0.288806841
171.45,0.21387832,-0.03061498,0.030567348,0.003971278,-0.020974901,0.27614674
173.736,0.221024475,-0.030603055,0.030026555,0.005653495,-0.023738682,0.260638099
176.022,0.228301277,-0.030538253,0.029407291,0.007342022,-0.026427057,0.242342242
178.308,0.235707889,-0.030418572,0.02870803,0.009028874,-0.029022343,0.221349937
180.594,0.243243405,-0.030242033,0.027927368,0.010705719,-0.031506605,0.197782068
182.88,0.250906845,-0.03000668,0.027064037,0.0123639,-0.033861733,0.171790049
185.166,0.2586971,-0.029710516,0.026116816,0.013994284,-0.036068909,0.143546712
187.452,0.266613094,-0.029351725,0.025084838,0.015587823,-0.038110648,0.113274792
189.738,0.274653617,-0.02892846,0.023967305,0.017135053,-0.039968963,0.081218001
192.024,0.282817376,-0.028438918,0.022763593,0.018626295,-0.041626098,0.047649409
194.31,0.291102991,-0.027881346,0.021473259,0.020051693,-0.043064645,0.012870309
196.596,0.299508994,-0.027254046,0.020096054,0.021401252,-0.044267658,-0.022791282
198.882,0.308033825,-0.026555379,0.018631933,0.02266488,-0.045218782,-0.058982502
201.168,0.316675828,-0.025783774,0.017081064,0.02383243,-0.04590238,-0.095327906
203.454,0.325429445,-0.024939776,0.015446506,0.024895489,-0.046309952,-0.131386179
205.74,0.334290769,-0.024023751,0.01373055,0.025847894,-0.046435849,-0.166819223
208.026,0.343261659,-0.023032278,0.011931339,0.026677756,-0.046260654,-0.201246128
210.312,0.352342109,-0.021962377,0.010048397,0.027371497,-0.045765404,-0.234159683
212.598,0.361529952,-0.020812908,0.008083116,0.027919529,-0.044940188,-0.265119845
