TIME,DISP,TEMP
0,1.47729,13.7802
5,1.48039,13.7608
10,1.47034,13.7474
15,1.48922,13.7363
20,1.48354,13.7282
25,1.49114,13.731
30,1.49466,13.7226
35,1.49292,13.7254
40,1.49409,13.7363
45,1.49522,13.7482
50,1.49663,13.7601
55,1.49649,13.7699
60,1.49386,13.7951
65,1.49278,13.8067
70,1.4949,13.8168
75,1.49349,13.8158
80,1.49565,13.8071
85,1.49259,13.7945
90,1.50067,13.7767
95,1.50892,13.7593
100,1.52285,13.7406
105,1.52992,13.7385
110,1.54,13.7278
115,1.55096,13.7135
120,1.55573,13.7105
125,1.56397,13.694
130,1.56893,13.6839
135,1.57473,13.6746
140,1.57633,13.6666
145,1.58356,13.6307
150,1.58665,13.6182
155,1.58997,13.5925
160,1.5916,13.5725
165,1.596,13.5487
170,1.59792,13.5299
175,1.60236,13.4985
180,1.60409,13.4753
185,1.60638,13.4787
190,1.60745,13.4745
195,1.60909,13.4791
200,1.60128,13.4785
205,1.61184,13.4763
210,1.61077,13.4726
215,1.61217,13.4723
220,1.61292,13.4771
225,1.61694,13.4687
230,1.60399,13.4676
235,1.61979,13.4554
240,1.61755,13.4158
245,1.61624,13.355
250,1.6189,13.3373
255,1.62082,13.3231
260,1.62521,13.3078
265,1.62918,13.2926
270,1.63105,13.279
275,1.62726,13.263
280,1.63516,13.2438
285,1.63735,13.243
290,1.63114,13.2415
295,1.63838,13.2474
300,1.63773,13.2436
305,1.636,13.2468
310,1.63623,13.2598
315,1.63759,13.2794
320,1.63427,13.2926
325,1.63446,13.3176
330,1.63264,13.3298
335,1.63137,13.3455
340,1.63156,13.3691
345,1.6182,13.3818
350,1.62722,13.385
355,1.61596,13.3762
360,1.6246,13.358
365,1.61895,13.338
370,1.61283,13.3215
375,1.59647,13.2764
380,1.62325,13.1566
385,1.61161,13.0277
390,1.61825,13.0421
395,1.61558,13.0644
400,1.61871,13.0848
405,1.57807,13.1092
410,1.59953,13.1176
415,1.55691,13.15
420,1.49925,13.1801
425,1.50623,13.2384
430,1.56075,13.2775
435,1.49906,13.3107
440,1.53878,13.3268
445,1.55465,13.3315
450,1.48362,13.3486
455,1.6101,13.3631
460,1.60617,13.3805
465,1.60734,13.4095
470,1.58359,13.4145
475,1.57806,13.4248
480,1.5458,13.4372
485,1.62529,13.4692
490,1.55185,13.5208
495,1.5556,13.5872
500,1.59238,13.6545
