Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,-0.041642962,-0.066676764,-0.068960699,0.000645712,-0.006431195
0.5,0.001014715,0.004377238,0.004744538,0.00061351,-0.006328421
2,0.129368629,0.219197161,0.227508023,0.000517171,-0.006034796
3.5,0.254775522,0.421327919,0.436085928,0.000420172,-0.005650981
5,0.374958986,0.601194735,0.619916387,0.000323513,-0.005138526
6.5,0.488185279,0.751916309,0.771535508,0.000229025,-0.004493167
8,0.593152267,0.868864992,0.886108754,0.000138881,-0.003732979
9.5,0.688903528,0.949280518,0.960999118,5.52716E-05,-0.00288956
11,0.77476105,0.99192868,0.995370802,-1.97929E-05,-0.002001443
12.5,0.850204439,0.996552898,0.989571976,-8.45407E-05,-0.001109221
14,0.914612729,0.962895244,0.944101186,-0.000137245,-0.000253489
15.5,0.967129499,0.890301303,0.859238119,-0.000176067,0.000524196
17.66666667,0.999521086,0.657915479,0.610035754,-0.000179295,0.001209709
19.83333333,0.962847959,0.266151487,0.212378556,-0.000105358,0.001069151
22,0.863620934,-0.185859259,-0.216146078,1.29049E-05,0.000265132
24.16666667,0.769174661,-0.371889182,-0.3818552,-0.479226348,-0.229841117
26.33333333,0.621871221,-0.452626855,-0.443739096,-0.776537958,-0.394630128
28.5,0.442670462,-0.399711302,-0.377430324,-0.758772352,-0.386921398
30,0.315880959,-0.309728574,-0.28632748,-0.606865043,-0.306635441
31.5,0.196230388,-0.206618602,-0.189945724,-0.416023857,-0.212019775
33,0.09242824,-0.102646123,-0.104906009,-0.215108184,-0.125404679
34.5,0.015794407,-0.014355621,-0.053434995,-0.043700909,-0.07739238
36,-0.016054568,0.033477712,-0.073434842,0.037307483,-0.121148885
37.5,-0.015975178,0.039765265,-0.089350072,0.045924376,-0.144996415
39,-0.000587895,0.000184966,0.002287976,0.000912695,0.003269168
39.5,0.002613309,-0.020165417,0.071936838,-0.016742209,0.111958765
