Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,-0.041642962,-0.066676764,-0.068960699,0.000645712,-0.006431195
0.5,0.001014715,0.004377238,0.004744538,0.00061351,-0.006328421
2,0.129368629,0.219197161,0.227508023,0.000517171,-0.006034796
3.5,0.254775522,0.421327919,0.436085928,0.000420172,-0.005650981
5,0.374958986,0.601194735,0.619916387,0.000323513,-0.005138526
6.5,0.488185279,0.751916309,0.771535508,0.000229025,-0.004493167
8,0.593152267,0.868864992,0.886108754,0.000138881,-0.003732979
9.5,0.688903528,0.949280518,0.960999118,5.52716E-05,-0.00288956
11,0.77476105,0.99192868,0.995370802,-1.97929E-05,-0.002001443
12.5,0.850204439,0.996552898,0.989571976,-8.45407E-05,-0.001109221
14,0.914612729,0.962895244,0.944101186,-0.000137245,-0.000253489
15.5,0.967129499,0.890301303,0.859238119,-0.000176067,0.000524196
17.66666667,0.999521086,0.657915479,0.610035754,-0.000179295,0.001209709
19.83333333,0.962847959,0.266151487,0.212378556,-0.000105358,0.001069151
22,0.863620934,-0.185859259,-0.216146078,1.29049E-05,0.000265132
24.16666667,0.769175827,-0.371844204,-0.381741037,0.479370695,0.2292359
26.33333333,0.621873065,-0.452556804,-0.443558794,0.776753732,0.39308782
28.5,0.442672333,-0.399643169,-0.377254807,0.758977708,0.385224332
30,0.315882505,-0.309673824,-0.286186755,0.60702775,0.305230355
31.5,0.196231434,-0.206581354,-0.189849702,0.416134825,0.211028635
33,0.092428586,-0.102628957,-0.10485949,0.215166472,0.12487205
34.5,0.015793818,-0.01435899,-0.053435755,0.043716707,0.077254126
36,-0.016056452,0.033455847,-0.073471024,-0.037306397,0.121169712
37.5,-0.015977454,0.039738857,-0.089393841,-0.045923211,0.145029209
39,-0.00058786,0.000185259,0.002288321,-0.000913165,-0.003265793
39.5,0.002614904,-0.020147917,0.071964494,0.016737015,-0.111945372
