Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,0.002613309,-0.020165417,0.071936838,-0.016742209,0.111958765
0.5,-0.000587895,0.000184966,0.002287976,0.000912695,0.003269168
2,-0.015975178,0.039765265,-0.089350072,0.045924376,-0.144996415
3.5,-0.016054568,0.033477712,-0.073434842,0.037307483,-0.121148885
5,0.015794407,-0.014355621,-0.053434995,-0.043700909,-0.07739238
6.5,0.09242824,-0.102646123,-0.104906009,-0.215108184,-0.125404679
8,0.196230388,-0.206618602,-0.189945724,-0.416023857,-0.212019775
9.5,0.315880959,-0.309728574,-0.28632748,-0.606865043,-0.306635441
11,0.442670462,-0.399711302,-0.377430324,-0.758772352,-0.386921398
13.16666667,0.621871221,-0.452626855,-0.443739096,-0.776537958,-0.394630128
15.33333333,0.769174661,-0.371889182,-0.3818552,-0.479226348,-0.229841117
17.5,0.863620934,-0.185859259,-0.216146078,1.29049E-05,0.000265132
19.66666667,0.769175827,-0.371844204,-0.381741037,0.479370695,0.2292359
21.83333333,0.621873065,-0.452556804,-0.443558794,0.776753732,0.39308782
24,0.442672333,-0.399643169,-0.377254807,0.758977708,0.385224332
25.5,0.315882505,-0.309673824,-0.286186755,0.60702775,0.305230355
27,0.196231434,-0.206581354,-0.189849702,0.416134825,0.211028635
28.5,0.092428586,-0.102628957,-0.10485949,0.215166472,0.12487205
30,0.015793818,-0.01435899,-0.053435755,0.043716707,0.077254126
31.5,-0.016056452,0.033455847,-0.073471024,-0.037306397,0.121169712
33,-0.015977454,0.039738857,-0.089393841,-0.045923211,0.145029209
34.5,-0.00058786,0.000185259,0.002288321,-0.000913165,-0.003265793
35,0.002614904,-0.020147917,0.071964494,0.016737015,-0.111945372
