Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,-0.041644327,-0.066710181,-0.069006631,0.02777226,0.002615253
0.5,-0.001985879,-0.008579659,-0.009305123,-0.005777552,0.010924886
2,0.129412738,0.21996032,0.228572043,0.079510511,-0.004222887
3.5,0.254861396,0.422789602,0.438118078,0.126757828,-0.010951531
5,0.375084807,0.603277171,0.622800876,0.170106033,-0.017059804
6.5,0.48834867,0.754518493,0.775122818,0.209956273,-0.02224565
8,0.593350428,0.871870337,0.8902276,0.246648957,-0.026275702
9.5,0.689133354,0.952563208,0.96546645,0.280475338,-0.028973721
11,0.775019219,0.995358853,1,0.311686578,-0.030212043
12.5,0.850487468,1,0.994178291,0.340754725,-0.029869778
14,0.914916946,0.966228059,0.948502487,0.36851533,-0.027779142
15.5,0.967522069,0.894064421,0.864130631,0.396002527,-0.023882989
17.66666667,1,0.66120695,0.614156549,0.432177921,0.004594804
19.83333333,0.963280992,0.267420702,0.213773882,0.461543981,0.076937789
21.73611008,0.854625506,-0.069142342,-0.149221537,0.714632436,0.286811918
23.90277675,0.6998535,-0.170952731,-0.248930018,1,0.427952378
26.06944342,0.51221723,-0.144728506,-0.210584666,0.960546646,0.407069059
27.56944342,0.37896044,-0.076370581,-0.137033124,0.78966944,0.321233972
29.06944342,0.25226773,0.002720361,-0.060247368,0.579018047,0.222157802
30.56944342,0.140706081,0.079991614,0.002873474,0.355962632,0.131171529
32.06944342,0.055463105,0.138396428,0.029484099,0.159986923,0.078989958
33.56944342,0.013847647,0.151822703,-0.019060823,0.051469689,0.119240437
35.06944342,0.002443947,0.117520853,-0.069290287,0.010855139,0.138375256
36.56944342,0.004044047,0.029206252,-0.019267373,0.017654951,-0.017855852
37.06944342,0.007246398,0.008816561,0.050501619,0.035272935,-0.126650274
