Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,-0.002023204,-0.049183732,0.093472779,0.001765632,0.097603694
0.5,-0.005225369,-0.028866211,0.023821473,0.01949677,-0.01135732
2,-0.034410918,-0.037765815,-0.110288611,0.103335885,-0.15539679
3.5,-0.045971928,-0.084672994,-0.128521138,0.126627287,-0.126447837
5,-0.023866241,-0.167215008,-0.136837453,0.072077799,-0.078146039
6.5,0.044210738,-0.285967917,-0.213582407,-0.077017851,-0.122861028
8,0.140323264,-0.417326705,-0.321260227,-0.258446726,-0.206808679
9.5,0.253011733,-0.54513823,-0.438066725,-0.432000173,-0.298887615
11,0.373483526,-0.657952042,-0.548282319,-0.569157514,-0.377382275
13.16666667,0.544485378,-0.738684525,-0.644189473,-0.567783715,-0.374525162
15.33333333,0.684415727,-0.678017925,-0.619060094,-0.252281674,-0.180983858
17.23611008,0.68441637,-0.677992214,-0.618997238,0.252591025,0.179047832
19.40277675,0.544486874,-0.738628367,-0.644050574,0.568151136,0.37172756
21.56944342,0.373485337,-0.657893499,-0.548140085,0.569498473,0.37454822
23.06944342,0.25301351,-0.545090241,-0.437953963,0.432285868,0.296448115
24.56944342,0.140324936,-0.417292753,-0.321185824,0.258667147,0.204892147
26.06944342,0.044212228,-0.285949855,-0.213550075,0.077170471,0.12152689
27.56944342,-0.023865022,-0.167212393,-0.136843607,-0.071984583,0.077346031
29.06944342,-0.045971172,-0.08468271,-0.128552194,-0.126567985,0.125965713
30.56944342,-0.034409422,-0.037771966,-0.110313776,-0.103299202,0.155114375
32.06944342,-0.005220027,-0.028834893,0.023857926,-0.019489186,0.011272957
32.56944342,-0.002016302,-0.049135245,0.09353649,-0.001762797,-0.097677576
