loadVel,,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,97.22222222222223,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
loadtrain_obj,,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-D.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv,train_defs/trainA-DD10.csv
Statistic,,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax,max,mean,min,std,absmax
System,Response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Bridge,Span 1 ACC [$m/s^2$],0.6224875233569156,-0.00045825458942596583,-0.6469383645352988,0.24016006931227543,0.6469383645352988,0.8729521849352538,0.00037256806770430406,-1.1381249468115715,0.3511930167734403,1.1381249468115715,0.504943344998467,0.00017240354036922718,-0.3175020039615551,0.13708391336354098,0.504943344998467,0.687237989447657,-0.0010574340390137585,-0.7187407706517657,0.2324593496266233,0.7187407706517657,0.4644225093024694,-0.00013997270762698712,-0.6200483747749806,0.19109186709921014,0.6200483747749806,0.8991951331334775,0.00044523530374570035,-0.7121729814478817,0.2576686324682525,0.8991951331334775,0.7165878039673426,-9.04035126016e-05,-0.6345905946506047,0.2601885587649184,0.7165878039673426,0.8591259064575607,0.002116999220821317,-0.584994026352086,0.21881105019828154,0.8591259064575607
My Bridge,Span 2 ACC [$m/s^2$],0.7400909543863863,0.00023025216762528338,-0.6671574298952836,0.23081780361247692,0.7400909543863863,0.6904894883245025,0.0005027365708269183,-0.7260033460899515,0.21862914664022282,0.7260033460899515,0.7580497538436257,0.0001929532572181921,-0.6894018709714935,0.293942433545919,0.7580497538436257,0.762279974363277,-0.00023758998114118378,-0.6505912235127016,0.2112023201766788,0.762279974363277,0.6013353995411147,0.0005282372090663897,-0.5063757011881488,0.18353853889814875,0.6013353995411147,0.7663538026107809,0.00018083090141950118,-0.6354410057444737,0.18903770310797952,0.7663538026107809,1.226252271714237,0.0004120705498231267,-1.2766491408035905,0.4997553062350779,1.2766491408035905,0.7865609083203613,0.000738868759145572,-0.6709976536950331,0.20966560547179297,0.7865609083203613
My Bridge,Span 3 ACC [$m/s^2$],0.48263146621980674,3.392176472288382e-05,-0.5243475261606392,0.19647708409474365,0.5243475261606392,0.7095394866799125,0.00014613493867779277,-0.6280040691088985,0.18395549031817698,0.7095394866799125,0.281745269267034,0.0002646583283673095,-0.22461518882164233,0.08340028397733637,0.281745269267034,0.3360569586310085,-0.00034874353015225943,-0.2749398440049157,0.09239448374488818,0.3360569586310085,0.23881760770693786,0.00021973044926185424,-0.2194777903635472,0.08002900430659347,0.23881760770693786,0.4159465675037196,-0.0005863564424585055,-0.48161965004777463,0.16316938569417141,0.48161965004777463,1.0761945960371146,-0.0005158097826857456,-1.0776302879073367,0.4636616680105153,1.0776302879073367,0.3908791266862701,-0.0005232614475182308,-0.36618274502024906,0.12427938539048732,0.3908791266862701
My Bridge,Span 4 ACC [$m/s^2$],0.34366540037975885,-0.00031451127698997567,-0.321632122849736,0.12785864471561983,0.34366540037975885,0.3798646917803107,-0.00018804112683128626,-0.3742210448531011,0.14270243982205433,0.3798646917803107,0.1498051915145776,6.813253653242228e-05,-0.11725560514719388,0.048264264848356386,0.1498051915145776,0.13973561911858168,1.3657340974312602e-05,-0.15572262345688948,0.05377801044049143,0.15572262345688948,0.0945933073171131,0.0001517517861219366,-0.09757629112733927,0.03308702909010342,0.09757629112733927,0.3453053314151166,0.0005482414079407359,-0.3775256079939758,0.11464913242663954,0.3775256079939758,0.6974048387540314,0.00033538512554357294,-0.6712969082411412,0.27455547931001584,0.6974048387540314,0.25106819555312104,0.0003909944542722412,-0.2898896577035077,0.07536717863057606,0.2898896577035077
My Bridge,Span 5 ACC [$m/s^2$],0.24128084709725525,0.00010533138658502878,-0.22492663090933368,0.09026786087372336,0.24128084709725525,0.3607446138543654,0.0008264325553562125,-0.37826624384530494,0.1383388144863068,0.37826624384530494,0.12058008084369137,-0.00020726189334636035,-0.14790707286494295,0.04694936874256737,0.14790707286494295,0.13172237052892685,-0.0006425554827869454,-0.15791725023749772,0.046445179071726496,0.15791725023749772,0.07446872027324654,-2.4880047383133233e-05,-0.06844450681220705,0.02594057942739209,0.07446872027324654,0.26482666067085137,-0.0007458695006448258,-0.24211469597610347,0.07383234869654694,0.26482666067085137,0.5107075216529118,-0.00017547357060942567,-0.4893389572984423,0.193665187444661,0.5107075216529118,0.1978233144463855,-0.0008773021303278643,-0.17893439767306543,0.054282493472999876,0.1978233144463855
My Bridge,Span 6 ACC [$m/s^2$],0.1770718683258892,9.378929544368374e-05,-0.15436910213387348,0.061026878096292037,0.1770718683258892,0.25601992175280963,0.0007897166325594326,-0.2687419841770552,0.10869920018650885,0.2687419841770552,0.11115081199951113,0.00020651783886866296,-0.09968285063994418,0.035265008707109795,0.11115081199951113,0.13560099440983647,-5.1448946857879916e-05,-0.12055427329450889,0.04387676522104818,0.13560099440983647,0.0476389498489545,-0.00011075264352439476,-0.041452153912719114,0.017042217118190248,0.0476389498489545,0.15863912339131672,2.993912142312229e-05,-0.1678650655989198,0.054407741976846974,0.1678650655989198,0.3092420636982864,-0.00011826270703082684,-0.32263079786048443,0.12918824009771973,0.32263079786048443,0.15431219680503577,0.0006448143283620035,-0.1196186277754264,0.044720236383690895,0.15431219680503577
My Bridge,Span 7 ACC [$m/s^2$],0.12264891100526246,7.759354678703454e-05,-0.10550083955462117,0.04258833875408358,0.12264891100526246,0.18823143652573152,0.0001801910540653626,-0.18262331503793414,0.06098822638841347,0.18823143652573152,0.10967840941028008,-0.00010276895317976987,-0.11090873425922557,0.039817164833086297,0.11090873425922557,0.09668945511822934,-0.000335822450488302,-0.09691397307945525,0.039016817130744466,0.09691397307945525,0.04242937828294006,-3.2878794553373805e-05,-0.04334347653621919,0.013442724063415925,0.04334347653621919,0.1397596007497729,-0.0006590221479228168,-0.1360253995822092,0.047447872835415364,0.1397596007497729,0.2050271826856939,5.985684850598129e-05,-0.20448968340583523,0.07336417365045564,0.2050271826856939,0.12180411999347392,0.000390521865175407,-0.123142887263743,0.03976784357460853,0.123142887263743
My Bridge,Span 8 ACC [$m/s^2$],0.17510818745369,0.00030264938922121477,-0.1364757630176616,0.05909471811284909,0.17510818745369,0.15828336444644367,0.0007061415416897427,-0.154574543263711,0.05269085030085148,0.15828336444644367,0.1296039021034147,-0.00011620313040028379,-0.14842112782726768,0.048645166725283115,0.14842112782726768,0.080046322277322,-0.00048456494642945015,-0.09726282718070384,0.03108610049384387,0.09726282718070384,0.027570683722497123,3.1397589863481516e-05,-0.03352602469845847,0.010647256703160619,0.03352602469845847,0.17138380997894886,0.00011011812760296684,-0.14175002800212433,0.05264836219041386,0.17138380997894886,0.2958754910449335,0.0001449487061412161,-0.29159261602436903,0.10766148805943222,0.2958754910449335,0.1423703577272008,-0.0015894982294409035,-0.1679366459892818,0.04407781863603546,0.1679366459892818
My Bridge,Span 9 ACC [$m/s^2$],0.14371703047400247,0.0003803906920427944,-0.14224481152971152,0.04686899335853012,0.14371703047400247,0.18602412595313012,0.00037449758793493533,-0.22402704967770187,0.052459236475391274,0.22402704967770187,0.1045783152499848,-3.120386680192165e-05,-0.11000421216927614,0.03823641474744357,0.11000421216927614,0.08095470126987209,0.0002793252434363222,-0.07016912440275094,0.025452183989694146,0.08095470126987209,0.029464183344897792,-0.00012959307460735754,-0.027459742664824722,0.009871195668044216,0.029464183344897792,0.1564870847216622,0.0002703990070462281,-0.13889545388116253,0.04735255556589692,0.1564870847216622,0.1864117873463092,0.00017620906901450112,-0.18292550573024338,0.06373118509565821,0.1864117873463092,0.08583841622639243,0.0007343681450261775,-0.08408837109856221,0.03157416312286245,0.08583841622639243
My Bridge,Span 10 ACC [$m/s^2$],0.13042283924328424,0.0001882585321217634,-0.16056554230525272,0.05259111030231392,0.16056554230525272,0.15029761785427695,-0.0011838284037826267,-0.15255549743843358,0.0468785784075487,0.15255549743843358,0.09022250734812773,0.00015784609937986727,-0.09001549003696205,0.03369837184382466,0.09022250734812773,0.10827017250348674,-0.00010092289002362284,-0.08961695067062055,0.025382459196465677,0.10827017250348674,0.06376156571582955,0.0001035734577014106,-0.08621825430740668,0.030133990998370008,0.08621825430740668,0.12499509677499476,-0.00014890658581139448,-0.12377422051877315,0.04298560236766964,0.12499509677499476,0.23127898584593873,-3.7074232995445784e-05,-0.2015904836731331,0.07469765631405595,0.23127898584593873,0.0742064660711707,-0.0002643270277309637,-0.09556019768064095,0.033083974519115544,0.09556019768064095
